,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,param_max_iter,param_random_state,param_solver,params,split0_test_mcc,split1_test_mcc,split2_test_mcc,split3_test_mcc,split4_test_mcc,mean_test_mcc,std_test_mcc,rank_test_mcc,split0_train_mcc,split1_train_mcc,split2_train_mcc,split3_train_mcc,split4_train_mcc,mean_train_mcc,std_train_mcc,split0_test_auprc,split1_test_auprc,split2_test_auprc,split3_test_auprc,split4_test_auprc,mean_test_auprc,std_test_auprc,rank_test_auprc,split0_train_auprc,split1_train_auprc,split2_train_auprc,split3_train_auprc,split4_train_auprc,mean_train_auprc,std_train_auprc
0,0.24187488555908204,0.015210644095701146,0.005830240249633789,0.00034918184404156516,tanh,0.0001,True,"(10, 3)",constant,400,500,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (10, 3), 'learning_rate': 'constant', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.7535218429449593,0.8266532304150049,0.8530883755247335,0.8376847480365722,0.8635619706443876,0.8269020335131314,0.03880890800245007,13,0.8045447281434697,0.789321919431898,0.8317992740757432,0.8355602173520644,0.8380882092107667,0.8198628696427883,0.019434209924966472,0.9280354477548229,0.9401914173315886,0.9810234208231065,0.9439670438159967,0.9686198112456149,0.9523674281942259,0.019473945869946746,11,0.9534519916411573,0.952636733505517,0.9550471071971718,0.9601341310834851,0.9548493521878837,0.9552238631230431,0.0026120873165891116
1,0.20383601188659667,0.01995588552518342,0.0056155681610107425,0.0007325140173639541,tanh,0.0001,True,"(10, 3)",adaptive,400,500,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (10, 3), 'learning_rate': 'adaptive', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.7535218429449593,0.8266532304150049,0.8530883755247335,0.8376847480365722,0.8635619706443876,0.8269020335131314,0.03880890800245007,13,0.8045447281434697,0.789321919431898,0.8317992740757432,0.8355602173520644,0.8380882092107667,0.8198628696427883,0.019434209924966472,0.9280354477548229,0.9401914173315886,0.9810234208231065,0.9439670438159967,0.9686198112456149,0.9523674281942259,0.019473945869946746,11,0.9534519916411573,0.952636733505517,0.9550471071971718,0.9601341310834851,0.9548493521878837,0.9552238631230431,0.0026120873165891116
2,0.16717805862426757,0.07227845248257551,0.0055538654327392575,0.0008918105078580305,tanh,0.0001,True,"(30, 5)",constant,400,500,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (30, 5), 'learning_rate': 'constant', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.8301843673990094,0.8266532304150049,0.7510676161988108,0.7867026750311066,0.7911811974796877,0.7971578173047238,0.02908631646721391,23,0.8848591463771013,0.822877503510978,0.7858131354555172,0.7762319155325854,0.7773469073676813,0.8094257216487726,0.0413753194994467,0.9383608669256431,0.9322091035713046,0.9707029312492342,0.9097358059693514,0.9624752234034408,0.9426967862237949,0.02186663503773904,23,0.9696749748272249,0.9481594796997422,0.9349174599002706,0.9483835066022158,0.9362051286714003,0.9474681099401708,0.012480659876704676
3,0.1947859287261963,0.06252654789342697,0.006491279602050782,0.0006501603327221097,tanh,0.0001,True,"(30, 5)",adaptive,400,500,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (30, 5), 'learning_rate': 'adaptive', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.8301843673990094,0.8266532304150049,0.7510676161988108,0.7867026750311066,0.7911811974796877,0.7971578173047238,0.02908631646721391,23,0.8848591463771013,0.822877503510978,0.7858131354555172,0.7762319155325854,0.7773469073676813,0.8094257216487726,0.0413753194994467,0.9383608669256431,0.9322091035713046,0.9707029312492342,0.9097358059693514,0.9624752234034408,0.9426967862237949,0.02186663503773904,23,0.9696749748272249,0.9481594796997422,0.9349174599002706,0.9483835066022158,0.9362051286714003,0.9474681099401708,0.012480659876704676
4,0.17103404998779298,0.009656154474335016,0.006372594833374023,0.000516414391366998,tanh,0.0001,True,"(50, 10)",constant,400,500,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'constant', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.7888122871481985,0.8389654387014024,0.8530883755247335,0.8376847480365722,0.8503381148199741,0.8337777928461761,0.023286114052435296,9,0.8411202324859127,0.8346592298930514,0.8317632839421292,0.8353614590599423,0.8318693313150441,0.834954707339216,0.0034050310638249143,0.9080918406211985,0.9376183266413729,0.9787138494858274,0.9321769318745226,0.9643391650855819,0.9441880227417006,0.024853421593316084,17,0.9503819106235026,0.9503578797034103,0.9432963340088406,0.9507386844940752,0.9433605246216307,0.9476270666902918,0.0035124719770450097
5,0.17158756256103516,0.006235098187100043,0.0061988353729248045,0.0003339827979240389,tanh,0.0001,True,"(50, 10)",adaptive,400,500,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (50, 10), 'learning_rate': 'adaptive', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.7888122871481985,0.8389654387014024,0.8530883755247335,0.8376847480365722,0.8503381148199741,0.8337777928461761,0.023286114052435296,9,0.8411202324859127,0.8346592298930514,0.8317632839421292,0.8353614590599423,0.8318693313150441,0.834954707339216,0.0034050310638249143,0.9080918406211985,0.9376183266413729,0.9787138494858274,0.9321769318745226,0.9643391650855819,0.9441880227417006,0.024853421593316084,17,0.9503819106235026,0.9503578797034103,0.9432963340088406,0.9507386844940752,0.9433605246216307,0.9476270666902918,0.0035124719770450097
6,0.40482311248779296,0.07846050766211317,0.01082925796508789,0.0009286034776268298,tanh,0.0001,True,"(100,)",constant,400,500,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.8155160718142586,0.851323788959475,0.8530883755247335,0.8269105337533093,0.8626910015966112,0.8419059543296775,0.01770338318077254,7,0.8722139787818612,0.8627381038447293,0.8380480546588108,0.9005640904071732,0.8412019403587907,0.8629532336102731,0.022776175832050417,0.9428240184424672,0.9572973907198473,0.9822721446592031,0.9245074294802941,0.9700911647090498,0.9553984296021725,0.020268442385920984,7,0.9727677887327515,0.9693783233215677,0.9575991434504204,0.9833723331430672,0.9587440664427034,0.968372331018102,0.009529923209419772
7,0.3759482383728027,0.06300263175917536,0.012514448165893555,0.0011858505230312175,tanh,0.0001,True,"(100,)",adaptive,400,500,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'early_stopping': True, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.8155160718142586,0.851323788959475,0.8530883755247335,0.8269105337533093,0.8626910015966112,0.8419059543296775,0.01770338318077254,7,0.8722139787818612,0.8627381038447293,0.8380480546588108,0.9005640904071732,0.8412019403587907,0.8629532336102731,0.022776175832050417,0.9428240184424672,0.9572973907198473,0.9822721446592031,0.9245074294802941,0.9700911647090498,0.9553984296021725,0.020268442385920984,7,0.9727677887327515,0.9693783233215677,0.9575991434504204,0.9833723331430672,0.9587440664427034,0.968372331018102,0.009529923209419772
8,0.1105419635772705,0.01801857672057739,0.005305814743041992,0.00010407503787337366,tanh,0.05,True,"(10, 3)",constant,400,500,adam,"{'activation': 'tanh', 'alpha': 0.05, 'early_stopping': True, 'hidden_layer_sizes': (10, 3), 'learning_rate': 'constant', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.7535218429449593,0.8266532304150049,0.8530883755247335,0.8376847480365722,0.8635619706443876,0.8269020335131314,0.03880890800245007,13,0.8045447281434697,0.789321919431898,0.8317992740757432,0.8355602173520644,0.8380882092107667,0.8198628696427883,0.019434209924966472,0.9280354477548229,0.9401335871210866,0.9810234208231065,0.9446080694570224,0.9686198112456149,0.9524840672803307,0.019427597033768385,9,0.9534107472622682,0.9526628990764688,0.9550188471424451,0.9601416534033376,0.9548353714137822,0.9552139036596603,0.0026162205036773614
9,0.11400742530822754,0.013375755942044664,0.005562639236450196,8.621007465275421e-05,tanh,0.05,True,"(10, 3)",adaptive,400,500,adam,"{'activation': 'tanh', 'alpha': 0.05, 'early_stopping': True, 'hidden_layer_sizes': (10, 3), 'learning_rate': 'adaptive', 'max_iter': 400, 'random_state': 500, 'solver': 'adam'}",0.7535218429449593,0.8266532304150049,0.8530883755247335,0.8376847480365722,0.8635619706443876,0.8269020335131314,0.03880890800245007,13,0.8045447281434697,0.789321919431898,0.8317992740757432,0.8355602173520644,0.8380882092107667,0.8198628696427883,0.019434209924966472,0.9280354477548229,0.9401335871210866,0.9810234208231065,0.9446080694570224,0.9686198112456149,0.9524840672803307,0.019427597033768385,9,0.9534107472622682,0.9526628990764688,0.9550188471424451,0.9601416534033376,0.9548353714137822,0.9552139036596603,0.0026162205036773614
